trial,min_weight_on_accessible,max_blocked,sum_blocked
0,0.198441,0.0000000000,0.0000000000
1,0.198297,0.0000000000,0.0000000000
2,0.196087,0.0000000000,0.0000000000
3,0.198647,0.0000000000,0.0000000000
4,0.198185,0.0000000000,0.0000000000
5,0.197166,0.0000000000,0.0000000000
6,0.198504,0.0000000000,0.0000000000
7,0.193808,0.0000000000,0.0000000000
8,0.198998,0.0000000000,0.0000000000
9,0.196588,0.0000000000,0.0000000000
10,0.197404,0.0000000000,0.0000000000
11,0.198320,0.0000000000,0.0000000000
12,0.197422,0.0000000000,0.0000000000
13,0.194115,0.0000000000,0.0000000000
14,0.198150,0.0000000000,0.0000000000
15,0.197867,0.0000000000,0.0000000000
16,0.199395,0.0000000000,0.0000000000
17,0.197004,0.0000000000,0.0000000000
18,0.196670,0.0000000000,0.0000000000
19,0.196916,0.0000000000,0.0000000000
20,0.196165,0.0000000000,0.0000000000
21,0.197835,0.0000000000,0.0000000000
22,0.196212,0.0000000000,0.0000000000
23,0.193301,0.0000000000,0.0000000000
24,0.198656,0.0000000000,0.0000000000
25,0.194514,0.0000000000,0.0000000000
26,0.197607,0.0000000000,0.0000000000
27,0.197461,0.0000000000,0.0000000000
28,0.197579,0.0000000000,0.0000000000
29,0.199388,0.0000000000,0.0000000000
30,0.196719,0.0000000000,0.0000000000
31,0.199458,0.0000000000,0.0000000000
32,0.195953,0.0000000000,0.0000000000
33,0.196523,0.0000000000,0.0000000000
34,0.197949,0.0000000000,0.0000000000
35,0.198868,0.0000000000,0.0000000000
36,0.199075,0.0000000000,0.0000000000
37,0.195800,0.0000000000,0.0000000000
38,0.197974,0.0000000000,0.0000000000
39,0.194148,0.0000000000,0.0000000000
40,0.198116,0.0000000000,0.0000000000
41,0.199472,0.0000000000,0.0000000000
42,0.194852,0.0000000000,0.0000000000
43,0.197249,0.0000000000,0.0000000000
44,0.196537,0.0000000000,0.0000000000
45,0.195904,0.0000000000,0.0000000000
46,0.197382,0.0000000000,0.0000000000
47,0.198313,0.0000000000,0.0000000000
48,0.193912,0.0000000000,0.0000000000
49,0.198301,0.0000000000,0.0000000000
50,0.199539,0.0000000000,0.0000000000
51,0.195537,0.0000000000,0.0000000000
52,0.196451,0.0000000000,0.0000000000
53,0.197931,0.0000000000,0.0000000000
